"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2024","14,148.99","14,019.63","14,161.17","14,019.63","","0.92%"
"10/08/2024","14,019.63","14,156.87","14,169.93","14,019.63","","-0.97%"
"10/07/2024","14,156.87","14,167.03","14,220.98","14,139.54","","-0.07%"
"10/04/2024","14,167.03","14,154.97","14,239.63","14,152.11","","0.09%"
"10/03/2024","14,154.97","14,024.58","14,190.07","14,024.58","","0.93%"
"10/02/2024","14,024.58","14,201.37","14,224.82","13,959.67","","-1.24%"
"10/01/2024","14,201.37","14,372.84","14,441.89","14,196.22","","-1.19%"
"09/30/2024","14,372.84","14,449.05","14,519.38","14,372.84","","-0.53%"
"09/27/2024","14,449.05","14,370.64","14,463.48","14,359.99","","0.55%"
"09/26/2024","14,370.64","14,282.71","14,391.79","14,281.39","","0.62%"
"09/25/2024","14,282.71","14,193.30","14,286.74","14,193.30","","0.63%"
"09/24/2024","14,193.30","14,269.55","14,409.24","14,183.46","","-0.53%"
"09/23/2024","14,269.55","14,246.86","14,290.89","14,201.40","","0.16%"
"09/20/2024","14,246.86","14,184.33","14,283.90","14,184.33","","0.44%"
"09/19/2024","14,184.33","14,087.58","14,230.18","14,087.58","","0.68%"
"09/18/2024","14,088.04","13,998.63","14,092.34","13,961.29","","0.64%"
"09/13/2024","13,998.92","13,884.63","13,999.11","13,867.15","","0.82%"
"09/12/2024","13,884.63","13,926.19","13,988.56","13,884.55","","-0.30%"
"09/11/2024","13,926.19","13,950.06","13,964.25","13,876.96","","-0.17%"
"09/10/2024","13,950.06","13,981.34","14,048.85","13,950.06","","-0.23%"
"09/09/2024","13,981.68","13,911.18","13,990.58","13,904.21","","0.51%"
"09/06/2024","13,911.35","13,906.42","13,962.08","13,902.56","","0.04%"
"09/05/2024","13,906.42","13,847.78","13,940.58","13,847.78","","0.42%"
"09/04/2024","13,847.78","13,895.68","13,907.86","13,845.94","","-0.34%"
"09/03/2024","13,895.68","13,912.60","13,997.00","13,889.20","","-0.52%"
"09/02/2024","13,968.21","13,933.46","13,978.60","13,876.06","","0.25%"
"08/30/2024","13,933.46","13,935.08","14,020.19","13,927.46","","-0.01%"
"08/29/2024","13,935.08","13,908.54","14,018.08","13,902.57","","0.19%"
"08/28/2024","13,908.54","13,878.40","13,963.00","13,874.26","","0.22%"
"08/27/2024","13,878.40","13,930.79","13,983.70","13,878.36","","-0.38%"
"08/26/2024","13,930.79","13,954.07","13,978.29","13,923.34","","-0.17%"
"08/23/2024","13,954.07","13,928.12","13,984.12","13,893.90","","0.19%"
"08/22/2024","13,928.12","13,912.00","13,974.98","13,897.90","","0.10%"
"08/19/2024","13,914.33","13,895.42","13,921.31","13,809.95","","0.14%"
"08/16/2024","13,895.42","13,873.16","13,912.07","13,803.94","","0.16%"
"08/15/2024","13,873.16","13,820.07","13,877.62","13,788.28","","0.38%"
"08/13/2024","13,820.07","13,782.50","13,847.11","13,774.79","","0.27%"
"08/12/2024","13,782.50","13,792.96","13,848.17","13,764.93","","-0.08%"
"08/09/2024","13,792.96","13,798.10","13,804.43","13,745.22","","-0.04%"
"08/08/2024","13,798.10","13,781.04","13,798.11","13,743.07","","0.12%"
